Date,Amundi MSCI Emerging Markets II UCITS ETF Acc
02/2020,255988.96919811782
03/2020,217010.54163063376
04/2020,238642.5861434715
05/2020,234882.67768971415
06/2020,250846.01055574586
07/2020,258453.33775430796
08/2020,262164.1600991178
09/2020,263102.5632338544
10/2020,268762.6691975191
11/2020,286692.9352999406
12/2020,300569.2532710174
01/2021,313274.68073857075
02/2021,316042.1139563674
03/2021,321825.40682064625
04/2021,320096.66226125084
05/2021,324361.43896724243
06/2021,333662.1854407572
07/2021,311180.46958296146
08/2021,320925.83378708636
09/2021,315036.5900357063
10/2021,316349.951541274
11/2021,310978.40699517675
12/2021,317963.524612366
01/2022,316685.558941366
02/2022,306041.1275372033
03/2022,301841.00355929567
04/2022,300235.61217761255
05/2022,296726.7017415343
06/2022,285920.6218021651
07/2022,290714.83092601795
08/2022,297785.92454811314
09/2022,269788.67969761137
10/2022,257038.61015286212
11/2022,282027.45937002887
12/2022,270618.6536365321
01/2023,287479.5884198898
02/2023,274244.9496423773
03/2023,275983.0037969883
04/2023,270241.279521087
05/2023,273162.69139027863
06/2023,278982.394281912
07/2023,292283.5534865357
08/2023,278242.0469467778
09/2023,277740.6737062884
10/2023,267358.6694413951
11/2023,279699.7841924641
12/2023,287036.77743976726
01/2024,278311.48130679555
02/2024,292623.57037607266
03/2024,300437.50621952803
04/2024,304780.73602102185
05/2024,301850.4798604916
06/2024,317775.94535567967
07/2024,315636.0941248668
08/2024,313509.3745196789
09/2024,331665.4471571644
10/2024,325750.6695432686
11/2024,322764.9191184958
12/2024,328727.35262894526
01/2025,333259.84721762105
02/2025,334690.6023887127
03/2025,324235.8025698113
04/2025,312117.0418013598
05/2025,325826.265864021
06/2025,334020.8240811987
07/2025,349208.97345300234
08/2025,345806.192841417
09/2025,369083.8234793754
10/2025,391394.34909070336
11/2025,379898.24089210824
12/2025,386587.13858840853
01/2026,415389.0288919146
02/2026,441489.4898403802
03/2026,393264.54499496013
04/2026,443052.8979661594
